Faculty,Year,Gender,Hr_SS  ,Hr_LL ,Resources_SS,Study_method ,Rem_LL,Rem_SS,Retain_SS_LL  ,Exam_recall,Challenge_LL  ,Challenge_SS,Long_term_retention ,Combine_LM_SS,Conceptual_understanding_LL ,Deeper_understanding_SS  
Faculty of Humanities and Social Sciences,2nd Year,Female,0-5 hours,6-10 hours,Academic Journals,Both equally,3,4,More from self-study,4,Difficulty remembering information after the lecture,Lack of motivation,Both equally,Often,Maybe,Disagree
Faculty of Technology,3rd Year,Female,6-10 hours,6-10 hours,YouTube Videos,Self-study,4,4,More from self-study,4,Lack of engagement during long lectures,Lack of focus,Self-study,Always,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,16-20 hours,YouTube Videos,Both equally,3,2,More from self-study,3,Lack of engagement during long lectures,Time management,Both equally,Always,Maybe,Agree
Faculty of Technology,3rd Year,Female,6-10 hours,6-10 hours,YouTube Videos,Both equally,4,4,More from self-study,4,Other,Time management,Both equally,Sometimes,No,Agree
Faculty of Technology,3rd Year,Male,6-10 hours,0-5 hours,Online Courses,Self-study,3,5,More from self-study,1,Difficulty concentrating,Lack of motivation,Self-study,Often,Maybe,Strongly agree
Faculty of Technology,3rd Year,Female,11-15 hours,11-15 hours,Academic Journals,Both equally,4,5,More from self-study,3,Difficulty concentrating,Time management,Both equally,Often,Maybe,Agree
Faculty of Technology,3rd Year,Male,11-15 hours,11-15 hours,YouTube Videos,Self-study,4,4,More from self-study,4,Difficulty remembering information after the lecture,Lack of focus,Self-study,Often,Yes,Agree
Faculty of Management studies and Commerce,3rd Year,Female,0-5 hours,16-20 hours,YouTube Videos,Both equally,3,2,More from lectures,3,Limited interaction with the lecturer,Time management,Both equally,Sometimes,Maybe,Agree
Faculty of Technology,3rd Year,Male,6-10 hours,11-15 hours,YouTube Videos,Both equally,3,3,More from lectures,2,Difficulty remembering information after the lecture,Other,Both equally,Always,Yes,Agree
Faculty of Management studies and Commerce,3rd Year,Male,More than 20 hours,6-10 hours,YouTube Videos,Self-study,3,5,More from self-study,5,Lack of engagement during long lectures,Difficulty understanding complex topics,Self-study,Often,Maybe,Agree
